size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.61400      19.22700      15.00700      15.57900      13.61800      0.00000       109.53100     59.13200      46.15500      47.91300      41.88300      0.00000      
2048       29.30600      15.13700      14.17300      13.50400      11.63600      5.25200       90.12900      46.55300      42.91200      41.53200      35.78500      16.15200     
4096       21.43700      8.49300       7.68400       8.14500       8.23500       1.94000       65.92900      26.12100      23.28600      25.05000      25.32700      5.96500      
8192       13.55500      1.92900       2.31900       2.19200       1.92500       1.92700       41.68800      5.84100       7.13200       6.74200       5.92100       5.92600      
16384      3.35000       2.02900       1.15800       1.88700       1.90000       1.90100       10.30400      6.24000       3.48600       5.80500       5.84400       5.84600      
32768      2.39300       1.75600       1.79900       1.80300       1.81100       1.81200       7.36100       5.39900       5.53400       5.54500       5.56900       5.57400      
65536      1.43400       1.39500       1.45400       4.41000       4.29100       4.47100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     1.15700       1.05900       1.04800       1.04700       1.04700       1.04700       3.56000       3.25800       3.22200       3.22100       3.22100       3.22100      
262144     0.67700       0.62600       0.64400       0.65900       0.60300       0.60200       2.08300       1.92400       1.98000       2.02500       1.85500       1.85000      
524288     0.63500       0.59500       0.59500       0.59500       0.59500       1.95300       1.83100       1.83100       1.83100       1.83100       0.00000       0.00000      
1048576    0.43800       0.57800       0.57900       0.47000       0.58100       1.33400       1.77900       1.78200       1.44800       1.78600       0.00000       0.00000      
2097152    0.54800       0.55400       1.68500       1.70300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.48700       0.48600       0.49600       0.50400       0.50800       1.49700       1.49400       1.52600       1.54900       1.56100       0.00000       0.00000      
8388608    0.37900       0.40200       0.40500       0.40600       0.40700       1.16600       1.23800       1.24700       1.24900       1.25100       0.00000       0.00000      
