size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.59000      33.14300      20.84200      21.22300      20.04500      0.00000       192.92000     134.35500     84.49000      86.03200      81.25900      0.00000      
2048       43.94400      29.34900      14.01500      12.91900      12.73300      12.96200      178.14000     118.97600     56.81400      52.36900      51.61700      52.54400     
4096       38.52800      23.34200      12.09300      11.39900      11.32700      11.32700      156.18600     94.62200      49.02100      46.20800      45.91800      45.91700     
8192       36.95900      21.80500      11.09600      11.07600      11.07500      11.06600      149.82500     88.39300      44.98200      44.89800      44.89700      44.85800     
16384      36.52700      21.73400      11.07100      11.05800      11.05800      11.05800      148.07400     88.10300      44.87900      44.82800      44.82700      44.82600     
32768      25.54000      21.71200      11.06400      11.05800      11.05800      11.05800      103.53300     88.01500      44.85200      44.82600      44.82600      44.82500     
65536      7.76800       7.92200       7.77100       8.82100       10.81400      11.05800      31.49100      32.11600      31.50300      35.76000      43.83600      44.82500     
131072     5.31900       3.40500       3.15200       2.96100       2.96100       2.96100       21.56000      13.80100      12.77700      12.00300      12.00300      12.00300     
262144     4.06200       2.96000       2.95700       2.95600       2.95700       2.95700       16.46500      11.99700      11.98700      11.98500      11.98700      11.98800     
524288     3.48100       2.93800       2.94300       2.94200       2.94100       2.94200       14.11000      11.91000      11.93200      11.92600      11.92100      11.92600     
1048576    2.99800       2.85700       2.87600       2.89300       2.88000       2.87500       12.15300      11.58300      11.65900      11.72600      11.67600      11.65300     
2097152    2.09900       2.11300       2.11100       2.17100       2.23600       2.25900       8.50800       8.56400       8.55700       8.79900       9.06600       9.15700      
4194304    1.64500       1.71300       1.60900       1.61000       1.61000       1.61100       6.66900       6.94400       6.52300       6.52700       6.52900       6.53000      
8388608    0.35100       0.43100       0.47000       0.13600       0.16600       0.16600       1.42300       1.74700       1.90600       0.55100       0.67200       0.67200      
