size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.61400      21.25800      18.47700      18.17900      15.23900      0.00000       109.53100     65.37900      56.82400      55.90900      46.86700      0.00000      
2048       29.30600      16.29000      14.89200      15.07700      12.62800      4.20300       90.12900      50.09800      45.80100      46.37000      38.83700      12.92700     
4096       21.43700      8.97400       8.53500       8.74700       8.82500       2.00300       65.92900      27.59900      26.24800      26.90200      27.14100      6.16000      
8192       13.55500      3.49900       2.40200       2.25600       1.95800       1.95800       41.68800      10.76000      7.38700       6.93700       6.02100       6.02200      
16384      3.35000       2.03000       1.90000       1.90600       1.90700       1.90800       10.30400      6.24300       5.84500       5.86100       5.86500       5.86900      
32768      2.39300       1.75200       1.81200       1.81100       1.81800       1.81400       7.36100       5.38900       5.57100       5.56900       5.59200       5.57900      
65536      1.43400       1.33000       1.37200       1.42800       1.43600       1.40000       4.41000       4.09200       4.21900       4.39000       4.41500       4.30700      
131072     1.15700       1.06900       1.06700       1.07300       1.07500       1.07400       3.56000       3.28700       3.28200       3.30000       3.30500       3.30400      
262144     0.67700       0.62500       0.64500       0.67400       0.69400       0.71700       2.08300       1.92200       1.98400       2.07300       2.13300       2.20400      
524288     0.63500       0.59500       0.59600       0.59700       0.59700       0.59700       1.95300       1.83000       1.83200       1.83500       1.83600       1.83600      
1048576    0.58900       0.57500       0.57300       0.57200       0.57200       0.57300       1.81000       1.76700       1.76200       1.76100       1.76100       1.76100      
2097152    0.55600       0.55200       0.55400       0.56100       0.56100       0.56100       1.70900       1.69700       1.70500       1.72400       1.72400       1.72500      
4194304    0.48700       0.47600       0.47400       0.47500       0.47600       0.47600       1.49700       1.46500       1.45800       1.46200       1.46300       1.46400      
8388608    0.39100       0.40300       0.41600       0.43100       0.43500       0.43500       1.20400       1.23900       1.27900       1.32600       1.33800       1.33800      
