size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       40.22500      38.83800      38.38500      38.48200      0.00000       161.54800     155.97800     154.16000     154.54700     0.00000       0.00000       0.00000      
2048       37.37500      36.45700      36.15000      36.11300      35.96600      35.46400      150.10200     146.41400     145.18300     145.03300     144.44500     142.42700    
4096       35.62100      34.97900      34.88900      34.66900      35.08600      143.05900     140.48200     140.12100     139.23500     140.91000     0.00000       0.00000      
8192       34.71000      34.27500      34.21300      34.10500      34.01800      34.06600      139.40100     137.65300     137.40400     136.96800     136.62000     136.81400    
16384      33.85100      33.86300      33.78300      33.64600      33.65800      33.73300      135.94900     136.00000     135.67900     135.12700     135.17300     135.47800    
32768      32.83000      32.53600      32.35200      32.24000      32.22800      32.13900      131.84800     130.66900     129.92900     129.47900     129.43400     129.07400    
65536      32.17600      30.81200      29.25800      27.13700      27.03700      27.08300      129.22100     123.74600     117.50200     108.98700     108.58400     108.76700    
131072     30.85700      29.57300      26.73900      23.57500      22.14000      22.11800      123.92700     118.76800     107.38800     94.67900      88.91600      88.82900     
262144     23.98900      22.55800      19.48300      19.37300      19.60900      96.34300      90.59600      78.24700      77.80500      78.75400      0.00000       0.00000      
524288     24.54200      20.36500      14.76200      14.97200      13.33100      11.24600      98.56400      81.78800      59.28600      60.12800      53.54000      45.16400     
1048576    22.72100      18.94100      12.95600      10.90800      9.15300       4.80300       91.24900      76.06900      52.03300      43.80900      36.76000      19.29100     
2097152    19.82800      18.39700      11.79400      8.75700       2.49600       2.35400       79.63300      73.88600      47.36600      35.16800      10.02600      9.45400      
4194304    11.68600      10.90300      11.03700      7.12000       1.31200       0.80400       46.93300      43.78900      44.32700      28.59600      5.27000       3.23100      
8388608    7.20600       7.16900       6.76600       6.62000       0.75900       0.50400       28.93900      28.79300      27.17200      26.58500      3.04900       2.02600      
