size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.59000      43.88900      45.71500      45.79600      56.01200      0.00000       192.92000     177.91600     185.32000     185.64600     227.05900     0.00000      
2048       43.94400      40.49800      38.94800      42.55800      44.04100      54.21200      178.14000     164.17000     157.88800     172.52300     178.53400     219.76500    
4096       38.52800      37.80300      37.65400      37.95900      41.95300      43.61800      156.18600     153.24500     152.64200     153.87900     170.07000     176.81900    
8192       36.95900      34.90600      37.36100      37.45300      37.83500      41.94100      149.82500     141.50000     151.45300     151.82700     153.37300     170.02000    
16384      36.52700      34.66500      34.66100      37.22800      37.40200      37.81200      148.07400     140.52500     140.50800     150.91500     151.61900     153.28400    
32768      25.54000      33.99600      34.38200      34.53500      33.80200      33.21900      103.53300     137.81200     139.37800     139.99700     137.02400     134.66400    
65536      7.76800       19.80900      28.98800      29.58300      29.70600      30.22700      31.49100      80.30300      117.51200     119.92300     120.42000     122.53200    
131072     5.31900       3.31500       15.86600      26.94000      29.47000      29.59500      21.56000      13.43800      64.31800      109.20700     119.46500     119.97400    
262144     4.06200       2.96200       2.97300       15.49300      26.50900      29.24400      16.46500      12.00500      12.05100      62.80300      107.46200     118.55000    
524288     3.48100       2.93900       2.94600       2.95700       14.95500      25.58800      14.11000      11.91300      11.94200      11.98600      60.62500      103.72900    
1048576    2.99800       2.85800       2.87700       2.89400       2.89300       13.79700      12.15300      11.58500      11.66100      11.73300      11.72900      55.93100     
2097152    2.09900       2.11200       2.11000       2.16900       2.23500       2.26000       8.50800       8.56100       8.55500       8.79400       9.06200       9.16100      
4194304    1.64500       1.71300       1.60900       1.61100       1.61100       1.61100       6.66900       6.94200       6.52300       6.52900       6.53000       6.53100      
8388608    0.35100       0.43100       0.46900       0.12700       0.15300       0.15500       1.42300       1.74700       1.90200       0.51400       0.62100       0.63000      
